ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
102680,Trajan,2011,2,4,120,12,14728,7,,,,
203993,Lorenzo il Magnifico,2016,2,4,120,12,9140,7,,,,
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,120,13,17236,7,,,,
36218,Dominion,2008,2,4,30,13,78089,7,,,,
30549,Pandemic,2008,2,4,45,8,102214,7,,,,
198928,Pandemic: Iberia,2016,2,5,45,8,8359,7,,,,
172287,Champions of Midgard,2015,2,4,90,10,13345,7,,,,
225694,Decrypto,2018,3,8,45,12,11690,7,,,,
127023,Kemet,2012,2,5,120,13,16277,7,,,,
196340,Yokohama,2016,2,4,90,14,8865,7,,,,
233371,Clank! In! Space!: A Deck-Building Adventure,2017,2,4,90,12,9188,7,,,,
175155,Forbidden Stars,2015,2,4,180,14,7516,7,,,,
155821,Inis,2016,2,4,90,14,12665,7,,,,
281259,The Isle of Cats,2019,1,4,90,8,6450,8,,,,
103885,Star Wars: X-Wing Miniatures Game,2012,2,2,45,14,23061,7,,,,
161970,Alchemists,2014,2,4,120,13,18250,7,,,,
34635,Stone Age,2008,2,4,90,10,44975,7,,,,
146652,Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,17,11251,7,,,,
175640,Vinhos Deluxe Edition,2016,1,4,135,14,4245,8,,,,
233398,Endeavor: Age of Sail,2018,2,5,90,13,6265,8,,,,
147020,Star Realms,2014,2,2,20,12,35947,7,,,,
104162,Descent: Journeys in the Dark (Second Edition),2012,1,5,120,14,22715,7,,,,
263918,Cartographers,2019,1,100,45,10,10754,7,,,,
262712,Res Arcana,2019,2,4,60,12,9719,7,,,,
4098,Age of Steam,2002,1,6,120,13,8871,7,,,,
148949,Istanbul,2014,2,5,60,10,25234,7,,,,
14996,Ticket to Ride: Europe,2005,2,5,60,8,58608,7,,,,
150376,Dead of Winter: A Crossroads Game,2014,2,5,120,13,39287,7,,,,
118048,Targi,2012,2,2,60,12,14592,7,,,,
9609,War of the Ring,2004,2,4,120,12,9935,7,,,,
43111,Chaos in the Old World,2009,3,4,120,13,14297,7,,,,
233867,Welcome To...,2018,1,100,25,10,17370,7,,,,
244522,That's Pretty Clever!,2018,1,4,30,8,14352,7,,,,
163068,Trickerion: Legends of Illusion,2015,2,4,180,14,6665,7,,,,
77423,The Lord of the Rings: The Card Game,2011,1,2,60,13,20805,7,,,,
17133,Railways of the World,2005,2,6,120,10,11039,7,,,,
128882,The Resistance: Avalon,2012,5,10,30,13,27134,7,,,,
218417,Aeon's End: War Eternal,2017,1,4,60,14,3191,8,,,,
221194,Dinosaur Island,2017,1,4,120,8,11559,7,,,,
266524,PARKS,2019,1,5,60,10,7275,7,,,,
103343,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,14,28650,7,,,,
155426,Castles of Mad King Ludwig,2014,1,4,90,13,22125,7,,,,
246900,Eclipse: Second Dawn for the Galaxy,2020,2,6,200,14,2556,8,,,,
54043,Jaipur,2009,2,2,30,12,37225,7,,,,
43015,Hansa Teutonica,2009,2,5,90,12,11496,7,,,,
10630,Memoir '44,2004,2,8,60,8,25720,7,,,,
70149,Ora et Labora,2011,1,4,180,13,9770,7,,,,
239188,Chronicles of Crime,2018,1,4,90,14,14251,7,,,,
14105,Commands & Colors: Ancients,2006,2,2,60,12,7987,7,,,,
39463,Cosmic Encounter,2008,3,5,120,12,27396,7,,,,
146508,T.I.M.E Stories,2015,2,4,90,12,23729,7,,,,
199561,Sagrada,2017,1,4,45,14,26063,7,,,,
82222,Xia: Legends of a Drift System,2014,3,5,180,12,7357,7,,,,
123260,Suburbia,2012,1,4,90,8,21584,7,,,,
